Vietnamese,English,Vietnamese_Sentence,English_Sentence
đảo,island,Chúng ta sẽ đến một hòn đảo xinh đẹp.,We will go to a beautiful island.
chân,foot,Chân của tôi bị đau sau khi đi bộ.,My foot hurts after walking.
hệ thống,system,Hệ thống này cần được bảo trì định kỳ.,This system needs regular maintenance.
bận rộn,busy,Tôi rất bận rộn với công việc hôm nay.,I am very busy with work today.
kiểm tra,test,Chúng ta sẽ kiểm tra vào thứ Sáu.,We will have a test on Friday.
ghi,record,Tôi sẽ ghi lại tất cả thông tin cần thiết.,I will record all the necessary information.
thuyền,boat,Chúng ta sẽ đi thuyền trên sông.,We will go boating on the river.
phổ biến,common,Đi bộ là một hoạt động phổ biến ở đây.,Walking is a common activity here.
vàng,gold,Chiếc nhẫn này được làm từ vàng nguyên chất.,This ring is made of pure gold.
có thể,possible,Mọi thứ đều có thể nếu bạn cố gắng.,Everything is possible if you try.
máy bay,plane,Máy bay sẽ cất cánh lúc 3 giờ chiều.,The plane will take off at 3 PM.
thay,stead,Tôi sẽ làm điều đó thay cho bạn.,I will do that in your stead.
khô,dry,Thời tiết hôm nay thật khô ráo.,The weather is really dry today.
tự hỏi,wonder,Tôi thường tự hỏi về điều đó.,I often wonder about that.
cười,laugh,Chúng tôi đã cười rất nhiều trong bữa tiệc.,We laughed a lot at the party.
ngàn,thousand,Có hàng ngàn ngôi sao trên bầu trời.,There are thousands of stars in the sky.
trước,ago,Tôi đã gặp anh ấy cách đây một năm.,I met him a year ago.
ran,ran,Cô ấy đã ran nhanh về nhà.,She ran home quickly.
kiểm tra,check,Hãy kiểm tra email của bạn thường xuyên.,Please check your email regularly.
trò chơi,game,Chúng ta sẽ chơi một trò chơi thú vị tối nay.,We will play an exciting game tonight.
hình dạng,shape,Cái bàn có hình dạng tròn.,The table is round in shape.
đánh đồng,equate,Bạn không thể đánh đồng tiền với hạnh phúc.,You cannot equate money with happiness.
nóng,hot,Cái cà phê này rất nóng.,This coffee is very hot.
bỏ lỡ,miss,Tôi không muốn bỏ lỡ buổi hòa nhạc.,I don't want to miss the concert.
mang,brought,Cô ấy đã mang bánh đến bữa tiệc.,She brought cake to the party.
nhiệt,heat,Nhiệt độ hôm nay rất cao.,The heat today is very high.
tuyết,snow,Tuyết rơi rất nhiều vào mùa đông.,Snow falls a lot in winter.
lốp xe,tire,Lốp xe của tôi bị hỏng.,My tire is flat.
mang lại,bring,Sách mang lại nhiều kiến thức.,Books bring a lot of knowledge.
vâng,yes,Câu trả lời của tôi là vâng.,My answer is yes.
xa,distant,Ngôi sao kia rất xa.,That star is very distant.
điền,fill,Hãy điền thông tin vào mẫu này.,Please fill out this form.
đông,east,Mặt trời mọc ở phía đông.,The sun rises in the east.
sơn,paint,Tôi sẽ sơn lại phòng ngủ.,I will paint the bedroom.
ngôn ngữ,language,Tiếng Anh là một ngôn ngữ phổ biến.,English is a popular language.
trong,among,Cô ấy là một trong những người giỏi nhất trong nhóm.,She is one of the best among the group.
đơn vị,unit,Một đơn vị đo lường là cần thiết cho bài toán này.,A unit of measurement is necessary for this problem.
điện,power,Điện là nguồn năng lượng chính trong ngôi nhà.,Power is the main energy source in the house.
thị trấn,town,Thị trấn này có nhiều cửa hàng thú vị.,This town has many interesting shops.
tốt,fine,Hôm nay thời tiết rất tốt để đi dạo.,The weather is fine today for a walk.
nhất định,certain,Có những điều nhất định bạn phải hoàn thành.,There are certain things you must complete.
bay,fly,Chim có thể bay lên trời cao.,Birds can fly high in the sky.
giảm,fall,Giá cả đã giảm đáng kể trong tháng này.,The prices have fallen significantly this month.
dẫn,lead,Người dẫn chương trình rất chuyên nghiệp.,The host leads the show very professionally.
kêu,cry,Em bé bắt đầu kêu khi đói.,The baby starts to cry when hungry.
tối,dark,Đêm nay trời rất tối và lạnh.,Tonight is very dark and cold.
máy,machine,Máy giặt của tôi bị hỏng rồi.,My washing machine is broken now.
ghi,note,Xin hãy ghi lại các thông tin quan trọng.,Please note down the important information.
đợi,wait,Tôi sẽ đợi bạn ở cổng trường.,I will wait for you at the school gate.
kế hoạch,plan,Chúng ta cần một kế hoạch rõ ràng cho chuyến đi.,We need a clear plan for the trip.
con số,figure,Con số này thể hiện sự tăng trưởng của công ty.,This figure represents the company's growth.
sao,star,Trên bầu trời có rất nhiều ngôi sao vào ban đêm.,There are many stars in the sky at night.
hộp,box,Tôi đã đặt sách vào trong hộp.,I put the books inside the box.
danh từ,noun,Danh từ là một phần quan trọng trong ngữ pháp.,A noun is an important part of grammar.
lĩnh vực,field,Cô ấy làm việc trong lĩnh vực giáo dục.,She works in the field of education.
phần còn lại,rest,Hãy để lại phần còn lại cho tôi nhé.,Please leave the rest for me.
chính xác,correct,"Điều này không chính xác, bạn phải kiểm tra lại.",This is not correct; you need to check again.
thể,able,Tôi hy vọng sẽ thể làm việc này một cách tốt nhất.,I hope to be able to do this well.
bảng,pound,Cân nặng của tôi là khoảng một trăm bảng.,My weight is about one hundred pounds.
Xong,done,Tôi đã xong bài tập về nhà rồi.,I am done with my homework now.
vẻ đẹp,beauty,Vẻ đẹp của thiên nhiên thật tuyệt vời.,The beauty of nature is truly wonderful.
ổ đĩa,drive,Tôi cần một ổ đĩa mới cho máy tính.,I need a new drive for my computer.
đứng,stood,Cô ấy đứng chờ ở bến xe buýt.,She stood waiting at the bus stop.
chứa,contain,Hộp này chứa những món quà bất ngờ.,This box contains some surprise gifts.
trước,front,Nhà tôi có một vườn hoa ở phía trước.,My house has a flower garden in the front.
dạy,teach,Cô giáo dạy tôi về lịch sử Việt Nam.,The teacher taught me about Vietnamese history.
tuần,week,Tôi sẽ đi du lịch vào tuần tới.,I will travel next week.
thức,final,Kỳ thi cuối cùng sẽ diễn ra vào tháng tới.,The final exam will take place next month.
đã,gave,Ông ấy đã tặng tôi một cuốn sách hay.,He gave me a good book.
màu xanh lá cây,green,Cây cối trong công viên có màu xanh lá cây tươi mát.,The trees in the park are a bright green.
oh,oh,"Ôi, tôi đã quên mang theo ô.","Oh, I forgot to bring an umbrella."
nhanh chóng,quick,Hãy hoàn thành bài tập này một cách nhanh chóng.,Please finish this assignment quickly.
phát triển,develop,Công ty đang phát triển một sản phẩm mới.,The company is developing a new product.
đại dương,ocean,Đại dương bao la và đầy bí ẩn.,The ocean is vast and full of mysteries.
ấm áp,warm,Thời tiết hôm nay rất ấm áp và dễ chịu.,The weather today is warm and pleasant.
miễn phí,free,Chúng tôi có vé vào cửa miễn phí cho trẻ em.,We have free admission tickets for children.
phút,minute,Tôi sẽ đến trong vòng vài phút.,I will arrive in a few minutes.
mạnh mẽ,strong,Anh ấy là một người rất mạnh mẽ và kiên cường.,He is a very strong and resilient person.
đặc biệt,special,Ngày hôm nay là một ngày đặc biệt với tôi.,Today is a special day for me.
tâm,mind,Bạn cần giữ tâm trí thoải mái khi học.,You need to keep a clear mind while studying.
sau,behind,Nhà tôi có một cái vườn ở phía sau.,My house has a garden behind it.
trong,clear,Nước trong hồ rất trong và sạch.,The water in the lake is very clear and clean.
đuôi,tail,Chó của tôi có một cái đuôi dài và đẹp.,My dog has a long and beautiful tail.
sản xuất,produce,Nhà máy này sản xuất đồ chơi trẻ em.,This factory produces children's toys.
thực tế,fact,Đó là một thực tế không thể chối cãi.,That is an undeniable fact.
không gian,space,Chúng ta cần thêm không gian để lưu trữ đồ.,We need more space to store things.
nghe,heard,Tôi nghe tiếng chim hót vào buổi sáng.,I heard the birds singing in the morning.
tốt nhất,best,Đây là món ăn ngon nhất tôi từng ăn.,This is the best meal I have ever eaten.
giờ,hour,Chúng ta sẽ gặp nhau sau một giờ nữa.,We will meet in an hour.
tốt hơn,better,Học tập chăm chỉ sẽ giúp bạn tốt hơn.,Studying hard will help you do better.
đúng,true,"Điều đó là đúng, tôi đã thấy nó.","That is true, I saw it."
trong khi,during,Tôi thích nghe nhạc trong khi làm việc.,I like to listen to music during work.
trăm,hundred,Có hơn một trăm người tham gia sự kiện này.,There are more than a hundred people attending this event.
năm,five,Tôi có năm quả táo trong giỏ.,I have five apples in the basket.
nhớ,remember,Bạn có nhớ tên của cô ấy không?,Do you remember her name?
bước,step,Hãy bước từng bước một để đạt được mục tiêu.,Take one step at a time to achieve your goals.
đầu,early,Tôi thích dậy sớm để tập thể dục.,I like to wake up early to exercise.
giư,hold,Hãy giữ chặt tay của mình khi đi bộ.,Please hold my hand while walking.
tây,west,Mặt trời lặn ở phía tây mỗi tối.,The sun sets in the west every evening.
mặt đất,ground,Trẻ em đang chơi trên mặt đất xanh.,The children are playing on the green ground.
quan tâm,interest,Tôi rất quan tâm đến việc học ngôn ngữ mới.,I have a strong interest in learning new languages.
đạt,reach,Cô ấy muốn đạt được ước mơ của mình.,She wants to reach her dreams.
nhanh chóng,fast,Chiếc xe chạy nhanh chóng trên đường.,The car is moving fast on the road.
động từ,verb,"Trong tiếng Việt, 'học' là một động từ.","In Vietnamese, 'học' is a verb."
hát,sing,Cô ấy thích hát những bài hát vui vẻ.,She likes to sing cheerful songs.
lắng nghe,listen,Hãy lắng nghe lời khuyên của người lớn.,You should listen to the advice of adults.
sáu,six,Tôi có sáu cuốn sách trong túi.,I have six books in my bag.
bảng,table,Chúng ta cần một bảng lớn để làm bài tập.,We need a big table to do our homework.
du lịch,travel,Tôi thích du lịch đến những nơi mới.,I enjoy traveling to new places.
ít,less,Tôi muốn ăn ít đường hơn.,I want to eat less sugar.
buổi sáng,morning,Buổi sáng là thời gian tốt nhất để tập thể dục.,Morning is the best time to exercise.
mười,ten,Tôi có mười quả táo trong giỏ.,I have ten apples in the basket.
đơn giản,simple,Bài toán này rất đơn giản để giải.,This math problem is very simple to solve.
nhiều,several,Có nhiều cách để học tiếng Anh.,There are several ways to learn English.
nguyên âm,vowel,"Trong tiếng Việt, có nhiều nguyên âm khác nhau.","In Vietnamese, there are many different vowels."
hướng,toward,Chúng ta đi hướng về phía bờ biển.,We are walking toward the beach.
chiến tranh,war,Chiến tranh đã gây ra nhiều nỗi đau.,War has caused a lot of pain.
đặt,lay,Hãy đặt cuốn sách trên bàn.,Please lay the book on the table.
chống lại,against,Chúng ta cần chống lại sự bất công.,We need to stand against injustice.
mô hình,pattern,Cô ấy vẽ một mô hình đẹp trên giấy.,She drew a beautiful pattern on the paper.
chậm,slow,Xe buýt đi rất chậm vào giờ cao điểm.,The bus is very slow during rush hour.
trung tâm,center,Chúng ta gặp nhau tại trung tâm thành phố.,We will meet at the city center.
tình yêu,love,Tình yêu là điều tuyệt vời nhất trong cuộc sống.,Love is the greatest thing in life.
người,person,Đó là một người bạn tốt của tôi.,That is a good person of mine.
tiền,money,Tiền không thể mua được hạnh phúc.,Money cannot buy happiness.
phục vụ,serve,Nhà hàng này phục vụ món ăn ngon.,This restaurant serves delicious food.
xuất hiện,appear,Mặt trời sẽ xuất hiện sau cơn mưa.,The sun will appear after the rain.
đường,road,Đường đến trường rất xa.,The road to school is very long.
Bản đồ,map,Tôi cần bản đồ để tìm đường.,I need a map to find the way.
mưa,rain,Mưa rơi suốt cả ngày hôm qua.,It rained all day yesterday.
quy tắc,rule,Có quy tắc trong mọi trò chơi.,There is a rule in every game.
phối,govern,Luật pháp phối hợp để duy trì trật tự.,Laws govern to maintain order.
kéo,pull,Em bé kéo cái xe nhỏ qua công viên.,The child pulled the small cart across the park.
lạnh,cold,Thời tiết hôm nay rất lạnh.,The weather is very cold today.
thông báo,notice,Chúng tôi đã nhận được thông báo từ trường.,We received a notice from the school.
giọng nói,voice,Giọng nói của cô ấy rất dễ thương.,Her voice is very sweet.
năng lượng,energy,Tôi cần nhiều năng lượng để làm việc hôm nay.,I need a lot of energy to work today.
săn,hunt,Chúng tôi sẽ đi săn trong rừng vào cuối tuần này.,We will go hunt in the forest this weekend.
có thể xảy ra,probable,Cơn bão này có thể xảy ra trong tuần tới.,This storm is probable to happen next week.
giường,bed,Tôi thích nằm trên giường đọc sách.,I like to lie on the bed and read books.
anh trai,brother,Anh trai tôi chơi bóng đá rất giỏi.,My brother plays soccer very well.
trứng,egg,Tôi ăn một trứng vào bữa sáng mỗi ngày.,I eat an egg for breakfast every day.
đi xe,ride,Chúng ta sẽ đi xe đạp đến công viên.,We will ride our bikes to the park.
pin,cell,Chiếc đèn pin này cần thay pin mới.,This flashlight needs a new cell.
tin,believe,Tôi tin vào những điều tốt đẹp sẽ đến.,I believe good things will come.
có lẽ,perhaps,Có lẽ tôi sẽ đi du lịch vào mùa hè này.,Perhaps I will travel this summer.
chọn,pick,Bạn hãy chọn một cuốn sách để đọc.,Please pick a book to read.
đột ngột,sudden,Cơn mưa đột ngột làm ướt cả mọi người.,The sudden rain soaked everyone.
tính,count,Tôi biết cách tính số tiền trong ví.,I know how to count the money in my wallet.
vuông,square,Cái bàn này có hình vuông rất đẹp.,This table has a very nice square shape.
lý do,reason,Tôi có lý do để không tham gia bữa tiệc.,I have a reason not to attend the party.
chiều dài,length,Chiều dài của sợi dây này là hai mét.,The length of this rope is two meters.
đại diện,represent,Cô ấy là người đại diện cho công ty tại hội nghị.,She will represent the company at the conference.
nghệ thuật,art,Nghệ thuật mang lại cảm hứng cho nhiều người.,Art inspires many people.
Tiêu đề,subject,Tiêu đề của cuốn sách này rất hấp dẫn.,The subject of this book is very interesting.
khu,region,Khu vực này nổi tiếng với các món ăn ngon.,This region is famous for delicious food.
kích thước,size,Tôi cần biết kích thước của cái áo này.,I need to know the size of this shirt.
khác nhau,vary,Sở thích của mọi người khác nhau rất nhiều.,People's preferences vary greatly.
giải quyết,settle,Chúng ta cần giải quyết vấn đề này càng sớm càng tốt.,We need to settle this issue as soon as possible.
nói,speak,Tôi muốn nói chuyện với bạn về kế hoạch.,I want to speak with you about the plan.
trọng lượng,weight,Trọng lượng của hộp này rất nặng.,The weight of this box is very heavy.
chung,general,Chúng ta cần có một kế hoạch chung cho dự án.,We need a general plan for the project.
băng,ice,"Trời lạnh quá, băng đã hình thành trên hồ.",It's so cold that ice has formed on the lake.
vấn đề,matter,Đó là một vấn đề lớn cần được giải quyết.,That is a significant matter that needs to be addressed.
vòng tròn,circle,Họ ngồi thành một vòng tròn quanh lửa.,They sat in a circle around the fire.
đôi,pair,Tôi đã mua một đôi giày mới.,I bought a new pair of shoes.
bao gồm,include,Học phí bao gồm sách vở và tài liệu.,The tuition fee includes books and materials.
chia,divide,Hãy chia bánh thành bốn phần bằng nhau.,Please divide the cake into four equal parts.
âm tiết,syllable,Từ này có ba âm tiết rất rõ ràng.,This word has three distinct syllables.
cảm thấy,felt,Tôi cảm thấy rất vui khi gặp lại bạn.,I felt very happy to see you again.
lớn,grand,Đám cưới của họ thật lớn và trang trọng.,Their wedding was truly grand and elegant.
bóng,ball,Trẻ em đang chơi bóng trong công viên.,The children are playing ball in the park.
nhưng,yet,"Tôi đã học nhiều, nhưng vẫn chưa đủ.","I have learned a lot, yet it is still not enough."
sóng,wave,Những con sóng vỗ vào bờ rất mạnh.,The waves crashed against the shore strongly.
rơi,drop,Mưa bắt đầu rơi xuống vào buổi chiều.,Rain began to drop down in the afternoon.
tim,heart,Trái tim của tôi đập nhanh khi tôi thấy cô ấy.,My heart raced when I saw her.
là,am,Tôi là một sinh viên chăm chỉ.,I am a diligent student.
hiện nay,present,"Hiện nay, tôi đang sống ở Hà Nội.","At present, I am living in Hanoi."
nặng,heavy,"Cái vali này thật nặng, tôi không thể mang nổi.","This suitcase is so heavy, I can't lift it."
khiêu vũ,dance,Chúng ta sẽ khiêu vũ trong bữa tiệc tối nay.,We will dance at the party tonight.
động cơ,engine,Động cơ của xe cần được bảo trì thường xuyên.,The engine of the car needs regular maintenance.
vị trí,position,Cô ấy đã được thăng chức lên vị trí quản lý.,She was promoted to the manager position.
cánh tay,arm,Tôi bị thương ở cánh tay khi chơi thể thao.,I injured my arm while playing sports.
rộng,wide,"Cái cầu này rất rộng, đủ cho hai xe đi qua.",This bridge is wide enough for two cars to pass.
buồm,sail,Chiếc thuyền có một buồm lớn màu trắng.,The boat has a large white sail.
tài liệu,material,Giáo viên đã phát tài liệu cho học sinh.,The teacher distributed material to the students.
phần,fraction,Một phần của chiếc bánh đã bị ăn mất.,A fraction of the cake has been eaten.
rừng,forest,Chúng tôi đã đi dạo trong rừng xanh mát.,We took a walk in the cool forest.
ngồi,sit,Hãy ngồi xuống và nghỉ ngơi một chút.,Please sit down and take a little rest.
cuộc đua,race,Cuộc đua đã thu hút rất nhiều người xem.,The race attracted a lot of spectators.
cửa sổ,window,Cô ấy nhìn ra cửa sổ để ngắm bầu trời.,She looked out the window to see the sky.
cửa hàng,store,Cửa hàng này bán nhiều đồ chơi thú vị.,This store sells many interesting toys.
mùa hè,summer,Mùa hè thường rất nóng ở đây.,Summer is usually very hot here.
đào tạo,train,Chúng tôi sẽ đào tạo nhân viên mới vào tuần tới.,We will train new employees next week.
ngủ,sleep,Tôi cần ngủ đủ giấc để làm việc hiệu quả.,I need to sleep enough to work effectively.
chứng minh,prove,Anh ấy phải chứng minh khả năng của mình.,He has to prove his abilities.
đơn độc,lone,Cô ấy cảm thấy đơn độc trong thành phố lớn.,She feels lone in the big city.
chân,leg,Tôi bị đau chân sau khi đi bộ nhiều.,My leg hurts after walking a lot.
tập thể dục,exercise,Tôi thường tập thể dục mỗi buổi sáng.,I usually exercise every morning.
tường,wall,Bức tranh được treo trên tường phòng khách.,The painting is hung on the living room wall.
bắt,catch,Họ cố gắng bắt con cá lớn trong hồ.,They are trying to catch the big fish in the pond.
mount,mount,Họ quyết định mount một bức ảnh lên tường.,They decided to mount a picture on the wall.
muốn,wish,Tôi muốn có một chuyến đi du lịch thú vị.,I wish for an exciting travel trip.
bầu trời,sky,Bầu trời hôm nay thật trong xanh.,The sky is very clear today.
hội đồng quản trị,board,Hội đồng quản trị sẽ họp vào thứ Sáu.,The board will meet on Friday.
niềm vui,joy,Niềm vui của tôi là được làm việc với trẻ em.,My joy is working with children.
mùa đông,winter,Mùa đông ở đây rất lạnh và có tuyết.,Winter here is very cold and snowy.
ngồi,sat,Tôi đã ngồi trên ghế lâu rồi.,I sat on the chair for a long time.
bằng văn bản,written,Tất cả các thông tin phải được bằng văn bản.,All information must be written down.
hoang dã,wild,Cô ấy yêu thích những loài động vật hoang dã.,She loves wild animals.
cụ,instrument,Ông ấy chơi một cụ rất đẹp trong buổi hòa nhạc.,He played a beautiful instrument at the concert.
giữ,kept,Tôi giữ bí mật này cho bạn.,I kept this secret for you.
kính,glass,Cốc này làm bằng kính rất đẹp.,This cup is made of beautiful glass.
cỏ,grass,Cỏ trong công viên rất xanh và mướt.,The grass in the park is very green and lush.
bò,cow,Con bò đang gặm cỏ trên đồng.,The cow is grazing on the field.
công việc,job,Cô ấy đang tìm một công việc mới.,She is looking for a new job.
cạnh,edge,Cẩn thận không đứng gần cạnh bàn.,Be careful not to stand near the edge of the table.
dấu hiệu,sign,Có dấu hiệu báo giao thông ở đây.,There is a traffic sign here.
lần,visit,Tôi sẽ đến thăm bạn lần sau.,I will visit you next time.
qua,past,Chúng ta đã đi qua ngôi nhà cũ.,We passed by the old house.
mềm,soft,Cái gối này rất mềm và thoải mái.,This pillow is very soft and comfortable.
vui vẻ,fun,Chúng ta đã có một buổi tiệc rất vui vẻ.,We had a very fun party.
sáng,bright,Hôm nay trời nắng và sáng.,Today is sunny and bright.
khí,gas,Xe hơi cần khí để chạy.,The car needs gas to run.
thời tiết,weather,Thời tiết hôm nay thật tuyệt vời.,The weather today is wonderful.
tháng,month,Tháng này có nhiều ngày lễ.,This month has many holidays.
triệu,million,Anh ấy đã thắng một triệu đồng.,He won a million dong.
chịu,bear,Tôi không thể chịu đựng được cái lạnh này.,I cannot bear this cold.
kết thúc,finish,Chúng ta cần kết thúc bài tập trước 5 giờ.,We need to finish the assignment by 5 o'clock.
hạnh phúc,happy,Cô ấy luôn cảm thấy hạnh phúc khi ở bên bạn.,She always feels happy when she is with you.
hy vọng,hope,Tôi hy vọng mọi điều tốt đẹp sẽ đến.,I hope good things will come.
hoa,flower,Hoa hồng là loài hoa đẹp nhất.,Roses are the most beautiful flowers.
mặc,clothe,Chúng ta nên mặc ấm khi trời lạnh.,We should clothe warmly when it's cold.
lạ,strange,Có một mùi lạ trong nhà.,There is a strange smell in the house.
ra đi,gone,Ông ấy đã ra đi từ lâu.,He has been gone for a long time.
thương mại,trade,Thương mại quốc tế đang phát triển nhanh chóng.,International trade is growing rapidly.
giai điệu,melody,Giai điệu của bài hát này rất vui tươi.,The melody of this song is very cheerful.
chuyến đi,trip,Chúng ta sẽ có một chuyến đi thú vị vào cuối tuần.,We will have an exciting trip this weekend.
văn phòng,office,Tôi làm việc tại một văn phòng lớn ở trung tâm thành phố.,I work in a big office in the city center.
nhận,receive,Tôi đã nhận được thư từ bạn hôm qua.,I received a letter from you yesterday.
hàng,row,Chúng ta cần sắp xếp sách theo hàng ngay ngắn.,We need to arrange the books in a neat row.
miệng,mouth,Miệng của tôi rất khô sau khi chạy bộ.,My mouth is very dry after running.
chính xác,exact,Đó là câu trả lời chính xác cho câu hỏi.,That is the exact answer to the question.
biểu tượng,symbol,Cờ là biểu tượng của đất nước chúng ta.,The flag is a symbol of our country.
chết,die,Cây cối sẽ chết nếu không có nước.,Plants will die without water.
nhất,least,Tôi muốn ăn ít nhất một ít trái cây mỗi ngày.,I want to eat at least some fruit every day.
rắc rối,trouble,Tôi không muốn gây rắc rối cho bạn.,I don't want to cause you any trouble.
hét lên,shout,Cô ấy hét lên khi nhìn thấy con rắn.,She shouted when she saw the snake.
trừ,except,"Tôi thích tất cả các món ăn, trừ món đó.",I like all the dishes except that one.
đã viết,wrote,Tôi đã viết một bài thơ cho cô ấy.,I wrote a poem for her.
hạt giống,seed,Hạt giống này cần được tưới nước thường xuyên.,This seed needs to be watered regularly.
giai điệu,tone,Giai điệu trong giọng nói của anh ấy rất nhẹ nhàng.,The tone in his voice is very gentle.
tham gia,join,Bạn có muốn tham gia buổi họp vào chiều nay không?,Do you want to join the meeting this afternoon?
đề nghị,suggest,Tôi muốn đề nghị một ý tưởng mới cho dự án.,I would like to suggest a new idea for the project.
sạch,clean,Ngôi nhà cần được dọn dẹp sạch sẽ trước khi khách đến.,The house needs to be clean before the guests arrive.
nghỉ,break,Chúng ta nên nghỉ một chút sau khi làm việc lâu.,We should take a break after working for a long time.
phụ nữ,lady,Cô ấy là một người phụ nữ rất thông minh.,She is a very smart lady.
sân,yard,Trẻ con đang chơi đùa ở sân nhà.,The children are playing in the yard.
tăng,rise,Nhiệt độ sẽ tăng vào mùa hè này.,The temperature will rise this summer.
xấu,bad,Hôm nay thời tiết xấu nên chúng ta không đi ra ngoài.,"The weather is bad today, so we won't go outside."
đòn,blow,Cú đòn mạnh đã khiến anh ta ngã xuống đất.,The strong blow knocked him to the ground.
dầu,oil,Tôi đã mua một chai dầu ăn để nấu ăn.,I bought a bottle of oil for cooking.
máu,blood,Máu chảy ra từ vết thương của anh ấy.,Blood was flowing from his wound.
chạm,touch,Cô ấy chạm vào bức tranh để cảm nhận nghệ thuật.,She touched the painting to feel the art.
tăng,grew,Cây này đã tăng trưởng rất nhanh trong mùa hè.,This tree grew very quickly in the summer.
phần trăm,cent,Giá này đã giảm một phần trăm so với tuần trước.,The price has fallen by one cent compared to last week.
trộn,mix,Hãy trộn tất cả các nguyên liệu vào một cái bát.,Please mix all the ingredients in one bowl.
đội,team,Đội bóng của chúng ta đã thắng trận hôm qua.,Our team won the match yesterday.
dây,wire,Tôi cần một dây điện để kết nối máy tính.,I need a wire to connect the computer.
chi phí,cost,Chi phí cho bữa ăn này khá cao.,The cost of this meal is quite high.
thua,lost,Chúng tôi đã thua trận đấu cuối tuần trước.,We lost the game last weekend.
nâu,brown,Chiếc ghế sofa này có màu nâu đẹp.,This sofa is a beautiful brown color.
mặc,wear,Tôi thích mặc áo phông vào mùa hè.,I like to wear t-shirts in the summer.
vườn,garden,Vườn hoa của tôi rất đẹp vào mùa xuân.,My flower garden looks beautiful in spring.
như nhau,equal,Mọi người nên được đối xử như nhau.,Everyone should be treated equally.
gửi,sent,Tôi đã gửi thư cho bạn của mình hôm qua.,I sent a letter to my friend yesterday.
chọn,choose,Bạn hãy chọn một cuốn sách mà bạn thích.,Please choose a book that you like.
giảm,fell,Nhiệt độ đã giảm xuống rất thấp vào ban đêm.,The temperature fell very low at night.
phù hợp với,fit,Chiếc áo này không phù hợp với tôi.,This shirt does not fit me.
chảy,flow,Nước chảy từ trên đồi xuống thung lũng.,Water flows from the hill into the valley.
công bằng,fair,Nguyên tắc này rất công bằng cho tất cả mọi người.,This rule is very fair to everyone.
ngân hàng,bank,Tôi cần đến ngân hàng để rút tiền.,I need to go to the bank to withdraw money.
thu thập,collect,Trẻ em thường thu thập tem từ khắp nơi.,Children often collect stamps from everywhere.
lưu,save,Tôi đã lưu tệp tin quan trọng vào máy tính.,I saved an important file on the computer.
kiểm soát,control,Cần phải kiểm soát tốt tình hình dịch bệnh.,We need to control the situation of the epidemic well.
số thập phân,decimal,Hãy viết số thập phân này ra giấy.,Please write this decimal number on paper.
tai,ear,Tôi nghe thấy âm thanh lạ bằng tai trái.,I heard a strange sound with my left ear.
khác,else,Bạn có muốn làm điều gì khác không?,Do you want to do something else?
khá,quite,Hôm nay trời khá đẹp và ấm áp.,The weather is quite nice and warm today.
đã phá vỡ,broke,Cô ấy đã phá vỡ chiếc bình quý giá.,She broke the precious vase.
khi,case,"Trong trường hợp xấu, chúng ta nên chuẩn bị.","In case of emergency, we should be prepared."
trung,middle,Cô ấy đứng ở trung tâm của sân khấu.,She stood in the middle of the stage.
giết,kill,Họ không nên giết động vật vô tội.,They should not kill innocent animals.
con trai,son,Con trai tôi thích chơi bóng đá mỗi ngày.,My son likes to play soccer every day.
hồ,lake,Chúng ta đi câu cá ở hồ gần nhà nhé.,Let's go fishing at the lake near our house.
thời điểm,moment,Đó là thời điểm tôi quyết định thay đổi cuộc sống.,That was the moment I decided to change my life.
quy mô,scale,Dự án này có quy mô lớn hơn chúng ta tưởng.,This project is on a larger scale than we thought.
lớn,loud,Âm nhạc phát ra thật lớn trong buổi tiệc.,The music played very loud at the party.
mùa xuân,spring,Mùa xuân là thời điểm hoa nở rực rỡ.,Spring is the time when flowers bloom beautifully.
quan sát,observe,Chúng ta nên quan sát kỹ trước khi quyết định.,We should observe carefully before making a decision.
con,child,Mỗi đứa con đều là một món quà quý giá.,Every child is a precious gift.
thẳng,straight,Đi thẳng rồi rẽ trái tại ngã ba.,Go straight and turn left at the intersection.
phụ âm,consonant,Mỗi từ đều có ít nhất một phụ âm.,Every word has at least one consonant.
quốc gia,nation,Việt Nam là một quốc gia xinh đẹp và giàu văn hóa.,Vietnam is a beautiful and culturally rich nation.
từ điển,dictionary,Tôi sử dụng từ điển để tra nghĩa của từ mới.,I use the dictionary to look up the meaning of new words.
sưa,milk,Trẻ em cần uống sữa mỗi ngày để khỏe mạnh.,Children need to drink milk every day to be healthy.
tốc độ,speed,Tốc độ của chiếc xe này rất nhanh.,The speed of this car is very fast.
phương pháp,method,Chúng ta cần tìm phương pháp học hiệu quả hơn.,We need to find a more effective method of learning.
cơ quan,organ,Tim là một cơ quan quan trọng trong cơ thể.,The heart is an important organ in the body.
trả,pay,Tôi sẽ trả tiền cho bữa ăn này.,I will pay for this meal.
tuổi,age,Cô ấy đã 25 tuổi và rất năng động.,She is 25 years old and very active.
phần,section,Chúng ta cần hoàn thành phần này trước khi đi tiếp.,We need to finish this section before moving on.
váy,dress,Cô ấy mua một chiếc váy mới cho bữa tiệc.,She bought a new dress for the party.
điện toán đám mây,cloud,Tôi lưu trữ tài liệu của mình trên điện toán đám mây.,I store my documents on the cloud.
bất ngờ,surprise,Điều bất ngờ nhất là cô ấy đến thăm tôi.,The biggest surprise was that she visited me.
